Company,Symbol,Weight,Price,Chg,% Chg
Republic Services,RSG,0.12%,230.14,-0.91,(-0.39%)
Cigna,CI,0.12%,269.66,-1.97,(-0.73%)
EOG Resources,EOG,0.11%,131.67,0.26,(0.20%)
Schlumberger,SLB,0.11%,47.19,0.29,(0.62%)
Cencora,COR,0.11%,361.80,3.34,(0.93%)
Hilton Worldwide,HLT,0.11%,303.46,4.82,(1.61%)
L3Harris,LHX,0.11%,371.26,4.65,(1.27%)
Warner Bros. Discovery,WBD,0.11%,27.75,-0.20,(-0.72%)
Ross Stores,ROST,0.11%,212.15,0.40,(0.19%)
Norfolk Southern Railway,NSC,0.11%,302.43,-0.41,(-0.14%)
General Motors,GM,0.11%,74.69,-0.52,(-0.69%)
Travelers Companies (The),TRV,0.11%,303.19,-3.12,(-1.02%)
Phillips 66,PSX,0.11%,163.00,-2.96,(-1.78%)
Valero Energy,VLO,0.10%,215.95,-8.68,(-3.86%)
Marathon Petroleum,MPC,0.10%,215.70,-5.58,(-2.52%)
Paccar,PCAR,0.10%,120.67,0.24,(0.20%)
Simon Property Group,SPG,0.10%,192.83,-2.00,(-1.03%)
Apollo Global Management,APO,0.10%,108.14,-0.56,(-0.52%)
Fortinet,FTNT,0.10%,83.81,0.14,(0.17%)
Elevance Health,ELV,0.10%,280.74,-8.90,(-3.07%)
Digital Realty,DLR,0.10%,179.65,3.46,(1.96%)
Air Products,APD,0.10%,274.40,2.22,(0.82%)
Sempra,SRE,0.10%,93.51,0.88,(0.95%)
AutoZone,AZO,0.10%,3672.68,31.39,(0.86%)
Realty Income,O,0.10%,64.94,-0.06,(-0.09%)
TE Connectivity,TEL,0.10%,206.24,0.39,(0.19%)
Baker Hughes,BKR,0.10%,60.10,0.29,(0.48%)
Truist Financial,TFC,0.09%,46.75,0.26,(0.56%)
Aflac,AFL,0.09%,110.18,-1.11,(-1.00%)
Arthur J. Gallagher & Co.,AJG,0.09%,217.78,-10.35,(-4.54%)
Vistra Corp.,VST,0.09%,163.62,4.97,(3.13%)
Dominion Energy,D,0.09%,62.91,-0.33,(-0.52%)
Autodesk,ADSK,0.09%,260.75,-0.24,(-0.09%)
Target Corporation,TGT,0.09%,120.14,-0.65,(-0.54%)
Occidental Petroleum,OXY,0.09%,55.02,0.83,(1.53%)
ONEOK,OKE,0.09%,85.96,-0.97,(-1.12%)
Allstate,ALL,0.09%,207.69,-4.63,(-2.18%)
Public Storage,PSA,0.09%,306.48,-1.65,(-0.54%)
Fastenal,FAST,0.09%,46.80,0.34,(0.73%)
W. W. Grainger,GWW,0.09%,1115.28,2.49,(0.22%)
Coinbase Global,COIN,0.09%,199.79,2.57,(1.30%)
Corteva,CTVA,0.09%,78.30,1.34,(1.74%)
Cardinal Health,CAH,0.08%,222.28,4.50,(2.07%)
Monolithic Power Systems,MPWR,0.08%,1062.00,38.84,(3.80%)
NXP Semiconductors,NXPI,0.08%,205.25,3.51,(1.74%)
United Rentals,URI,0.08%,820.68,11.08,(1.37%)
Zoetis,ZTS,0.08%,122.36,0.93,(0.77%)
Diamondback Energy,FANG,0.08%,182.86,2.32,(1.29%)
Ametek,AME,0.08%,225.07,3.09,(1.39%)
Xcel Energy,XEL,0.08%,82.10,-0.42,(-0.51%)
Targa Resources,TRGP,0.08%,234.74,-2.46,(-1.04%)
Exelon,EXC,0.08%,49.14,-0.22,(-0.45%)
"Nasdaq, Inc.",NDAQ,0.08%,88.05,-0.38,(-0.43%)
Electronic Arts,EA,0.08%,199.27,1.27,(0.64%)
Carrier Global,CARR,0.08%,58.72,0.37,(0.63%)
Edwards Lifesciences,EW,0.08%,84.26,2.62,(3.21%)
Ford Motor Company,F,0.08%,12.19,0.04,(0.33%)
Idexx Laboratories,IDXX,0.08%,610.45,2.04,(0.34%)
Keysight Technologies,KEYS,0.08%,282.02,9.59,(3.52%)
"Comfort Systems USA, Inc.",FIX,0.08%,1372.40,93.34,(7.30%)
Entergy,ETR,0.08%,104.65,-0.05,(-0.05%)
Becton Dickinson,BDX,0.08%,165.46,-1.66,(-0.99%)
Carvana Co.,CVNA,0.08%,328.26,10.56,(3.32%)
Garmin,GRMN,0.08%,242.63,-0.85,(-0.35%)
Kroger,KR,0.08%,73.37,-0.74,(-1.00%)
Teradyne,TER,0.08%,296.44,23.39,(8.57%)
MetLife,MET,0.07%,70.77,-1.06,(-1.48%)
Chipotle Mexican Grill,CMG,0.07%,35.29,-0.08,(-0.23%)
Datadog,DDOG,0.07%,128.56,2.81,(2.23%)
Hershey Company (The),HSY,0.07%,222.78,-2.21,(-0.98%)
Ciena Corporation,CIEN,0.07%,318.54,24.37,(8.28%)
Axon Enterprise,AXON,0.07%,559.06,-14.95,(-2.60%)
Yum! Brands,YUM,0.07%,159.85,-0.15,(-0.09%)
D. R. Horton,DHI,0.07%,147.69,0.43,(0.29%)
PayPal,PYPL,0.07%,46.16,-0.81,(-1.72%)
Fifth Third Bancorp,FITB,0.07%,46.98,-0.32,(-0.68%)
Rockwell Automation,ROK,0.07%,375.55,5.72,(1.55%)
